description,directors,last_updated,link,name,number,prereq,website
"Design and analysis techniques, approximation algorithms, randomized algorithms and amortized analysis, and advanced topics such as network flow, linear programming, and dynamic data structures, among others. Course Information: Same as CSE 414 and MATH 473. 4 undergraduate hours. 4 graduate hours. Prerequisite: CS 374, and one of CS 361, MATH 461, or STAT 400.","[{'Chandra Sekhar Chekuri': 'https://cs.illinois.edu/about/people/all-faculty/chekuri', 'Jeff G Erickson': 'https://cs.illinois.edu/about/people/all-faculty/jeffe'}]",3/9/2019,https://cs.illinois.edu/academics/courses/CS473,Algorithms,CS 473,,https://courses.engr.illinois.edu/cs473/fa2021/
Course Information: Same as ADV 492. See ADV 492.,[{}],,https://cs.illinois.edu/academics/courses/CS468,Tech and Advertising Campaigns,CS 468,,https://sites.google.com/illinois.edu/adv492s2021/
"Visualizing social interaction in networked spaces: investigation of patterns in networked communications systems such as messaging (email, instant messaging), social networking sites and collaborative sites; social network theory and visualizations; exploration of how to move beyond existing visualization techniques; visualizing the network identity over compilations of online data. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225.",[{'Kyratso George Karahalios': 'https://cs.illinois.edu/about/people/all-faculty/kkarahal'}],2/14/2019by Karrie Karahalios,https://cs.illinois.edu/academics/courses/CS467,Social Visualization,CS 467,,http://social.cs.uiuc.edu/class/cs467
"Algorithmic approaches in bioinformatics: (i) biological problems that can be solved computationally (e.g., discovering genes, and interactions among different genes and proteins); (ii) algorithmic techniques with wide applicability in solving these problems (e.g., dynamic programming and probabilistic methods); (iii) practical issues in translating the basic algorithmic ideas into accurate and efficient tools that biologists may use. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225.",[{'Saurabh   Sinha': 'https://cs.illinois.edu/about/people/all-faculty/sinhas'}],2/15/2019,https://cs.illinois.edu/academics/courses/CS466,Introduction to Bioinformatics,CS 466,,
"A project-focused course covering fundamental principles of user interface design, implementation, and evaluation. Small teams work on a term-long project that involves: analysis of the problem domain, user skills, and tasks; iterative prototyping of interfaces to address user needs; conducting several forms of evaluation such as cognitive walkthroughs and usability tests; implementation of the final prototype. Non-technical majors may enroll as non-programmers who participate in all aspects of the projects with the possible exception of implementation. Course Information: 4 undergraduate hours. 4 graduate hours. Prerequisite: CS 225. Class Schedule Information: Must register for one lecture, one discussion section and the lab/studio section.",[{'Brian P Bailey': 'https://cs.illinois.edu/about/people/all-faculty/bpbailey'}],1/29/2019by Brian P. Bailey,https://cs.illinois.edu/academics/courses/CS465,User Interface Design,CS 465,,http://courses.grainger.illinois.edu/cs465/fa2021/
"Topics selected from key current areas of impact of computer technology on aspects of society and ethics such as: freedom versus the rule of law in cyberspace; social discourse; privacy; livelihoods and automation; fairness; security; political change; business models; technology divide. Course Information: 3 undergraduate hours. No graduate credit. May be repeated if topics vary. Credit is not given towards a degree from multiple offerings of this course, if those offerings have significant overlap, as determined by the CS department. Prerequisite: CS 225. One of CS 210 or CS 211 or ECE 316 or PHIL 316. One of CS 361 or STAT 400 or STAT 200. Restricted to students with senior standing.",[{'Carl   Gunter': 'https://cs.illinois.edu/about/people/all-faculty/cgunter'}],,https://cs.illinois.edu/academics/courses/CS464,Topics in Societal Impacts,CS 464,,https://docs.google.com/document/d/1cDlgsHrv6QqRUjR_Rw6ArXsX5gUxMzFsSV23L6MEE0M/edit?usp=sharing
"Program security, trusted base, privacy, anonymity, non-interference, information flow, confinement, advanced auditing, forensics, intrusion detection, key management and distribution, policy composition and analysis, formal approaches to specification and verification of secure systems and protocols, and topics in applied cryptography. Course Information: Same as ECE 424. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 461. Recommended: CS 475.",[{'Carl   Gunter': 'https://cs.illinois.edu/about/people/all-faculty/cgunter'}],2/17/2019by Carl  Gunter,https://cs.illinois.edu/academics/courses/CS463,Computer Security II,CS 463,,https://gangw.cs.illinois.edu/class/cs463/
"Fundamental principles of computer and communications security and information assurance: ethics, privacy, notions of threat, vulnerabilities, and risk in systems, information warfare, malicious software, data secrecy and integrity issues, network security, trusted computing, mandatory and discretionary access controls, certification and accreditation of systems against security standards. Security mechanisms: authentication, auditing, intrusion detection, access control, cryptography, security protocols, key distribution. Course Information: Same as ECE 422. 4 undergraduate hours. 4 graduate hours. Prerequisite: CS 241 or ECE 391.","[{'Ryan Matthew Cunningham': 'https://cs.illinois.edu/about/people/all-faculty/rcunnin2', 'Carl   Gunter': 'https://cs.illinois.edu/about/people/all-faculty/cgunter'}]",3/6/2019by Ryan Matthew Cunningham,https://cs.illinois.edu/academics/courses/CS461,Computer Security I,CS 461,Credit in CS 101  or CS 125 Credit in CS 357  or MATH 415 Credit in MATH 285 ,
"Operating systems security: access control, least privilege mechanism and malware techniques. Network security: firewalls, sniffing, tunnels, intrusion detection, AAA and worm structure. System security: forensics security architectures, and attack/defend exercises. Complements CS 461 via hands-on project. Course Information: Same as ECE 419. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 461.",[{'Carl   Gunter': 'https://cs.illinois.edu/about/people/all-faculty/cgunter'}],3/12/2019,https://cs.illinois.edu/academics/courses/CS460,Security Laboratory,CS 460,,
"Continuation of CS 357. Orthogonalization methods for least squares, Krylov subspace methods, non-linear equations and optimization in multiple dimensions, initial and boundary value problems for ordinary and partial differential equations. Course Information: No graduate credit. Credit is not given for both CS 457 and CS 450. Prerequisite: CS 357.",[{'Luke   Olson': 'https://cs.illinois.edu/about/people/all-faculty/lukeo'}],2/18/2019by Luke  Olson,https://cs.illinois.edu/academics/courses/CS457,Numerical Methods II,CS 457,,
"Linear system solvers, optimization techniques, interpolation and approximation of functions, solving systems of nonlinear equations, eigenvalue problems, least squares, and quadrature; numerical handling of ordinary and partial differential equations. Course Information: Same as CSE 401, ECE 491, and MATH 450. 3 undergraduate hours. 3 or 4 graduate hours. Credit is not given for both CS 450 and CS 457. Prerequisite: One of CS 101 or CS 125; one of CS 357, MATH 257, MATH 415, or MATH 416; MATH 285.",[{'Luke   Olson': 'https://cs.illinois.edu/about/people/all-faculty/lukeo'}],2/18/2019by Luke  Olson,https://cs.illinois.edu/academics/courses/CS450,Numerical Analysis,CS 450,,https://relate.cs.illinois.edu/course/cs450-f21/
"Part-of-speech tagging, parsing, semantic analysis and machine translation. Relevant linguistics concepts from morphology (word formation) and lexical semantics (the meaning of words) to syntax (sentence structure) and compositional semantics (the meaning of sentences). Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Credit is not given for both CS 447 and LING 406. Prerequisite: CS 374.",[{'Julia Constanze Hockenmaier': 'https://cs.illinois.edu/about/people/all-faculty/juliahmr'}],2/15/2019,https://cs.illinois.edu/academics/courses/CS447,Natural Language Processing,CS 447,,
"Principles and applications of machine learning. Main paradigms and techniques, including discriminative and generative methods, reinforcement learning: linear regression, logistic regression, support vector machines, deep nets, structured methods, dimensionality reduction, k-means, Gaussian mixtures, expectation maximization, Markov decision processes, and Q-learning. Application areas such as natural language and text understanding, speech recognition, computer vision, data mining, and adaptive computer systems, among others. Course Information: Same as ECE 449. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225; One of MATH 225, MATH 257, MATH 415, MATH 416 or ASRM 406; One of CS 361, ECE 313, MATH 461 or STAT 400.","[{'Oluwasanmi Oluseye Koyejo': 'https://cs.illinois.edu/about/people/all-faculty/sanmi', 'Matus Jan Telgarsky': 'https://cs.illinois.edu/about/people/all-faculty/mjt'}]",2/18/2019by Sanmi Koyejo,https://cs.illinois.edu/academics/courses/CS446,Machine Learning,CS 446,,https://courses.grainger.illinois.edu/cs446/fa2021/
"Computer vision techniques to enhance, manipulate, and create media from photo collections, such as panoramic stitching, face morphing, texture synthesis, blending, and 3D reconstruction. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225, MATH 225, and MATH 231.",[{'Derek W Hoiem': 'https://cs.illinois.edu/about/people/all-faculty/dhoiem'}],2/12/2019by Derek W. Hoiem,https://cs.illinois.edu/academics/courses/CS445,Computational Photography,CS 445,,https://courses.grainger.illinois.edu/cs445/fa2021/
"Techniques of machine learning to various signal problems: regression, including linear regression, multiple regression, regression forest and nearest neighbors regression; classification with various methods, including logistic regression, support vector machines, nearest neighbors, simple boosting and decision forests; clustering with various methods, including basic agglomerative clustering and k-means; resampling methods, including cross-validation and the bootstrap; model selection methods, including AIC, stepwise selection and the lasso; hidden Markov models; model estimation in the presence of missing variables; and neural networks, including deep networks. The course will focus on tool-oriented and problem-oriented exposition. Application areas include computer vision, natural language, interpreting accelerometer data, and understanding audio data. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225 and CS 361.","[{'David Alexander Forsyth': 'https://cs.illinois.edu/about/people/all-faculty/daf', 'Marco Antonio   Morales Aguirre': 'https://cs.illinois.edu/about/people/all-faculty/moralesa'}]",,https://cs.illinois.edu/academics/courses/CS441,Applied Machine Learning,CS 441,,
"Major topics in and directions of research in artificial intelligence: basic problem solving techniques, knowledge representation and computer inference, machine learning, natural language understanding, computer vision, robotics, and societal impacts. Course Information: Same as ECE 448. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225.","[{'Margaret M Fleck': 'https://cs.illinois.edu/about/people/all-faculty/mfleck', 'Julia Constanze Hockenmaier': 'https://cs.illinois.edu/about/people/all-faculty/juliahmr'}]",2/3/2019by Margaret M. Fleck,https://cs.illinois.edu/academics/courses/CS440,Artificial Intelligence,CS 440,,https://courses.engr.illinois.edu/cs440/fa2021/
Course Information: Same as ECE 439. See ECE 439.,[{}],,https://cs.illinois.edu/academics/courses/CS439,Wireless Networks,CS 439,,
"Layered architectures and the OSI Reference Model; design issues and protocols in the transport, network, and data link layers; architectures and control algorithms of local-area, point-to-point, and satellite networks; standards in networks access protocols; models of network interconnection; overview of networking and communication software. Course Information: Same as ECE 438. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 241 or ECE 391; one of ECE 313, MATH 461, MATH 463.",[{'Robin Hillary Kravets': 'https://cs.illinois.edu/about/people/all-faculty/rhk'}],3/18/2019by Robin Hillary Kravets,https://cs.illinois.edu/academics/courses/CS438,Communication Networks,CS 438,,https://courses.grainger.illinois.edu/cs438/fa2021/
"Topics of networked embedded computing technology, known as the Internet of Things, in application, distributed, human-centric, or social contexts. The tight coupling between people, networking protocols, computing elements, and physical things in IoT systems presents unique challenges for data collection, processing in constrained computation and communication environments. Introduces general principles of IoT systems and protocol, offers broad foundations for IoT services, and allows specialization to pursue an in-depth understanding of selected IoT aspects or subtopics. Course Information: 3 undergraduate hours. 4 graduate hours. May be repeated if topics vary. Credit towards a degree from multiple offerings of this course is not given if those offerings have significant overlap, as determined by the CS department. Prerequisite: CS 241. Additional prerequisites may be specified each term. See section information.",[{'Matthew Chapman Caesar': 'https://cs.illinois.edu/about/people/all-faculty/caesar'}],,https://cs.illinois.edu/academics/courses/CS437,Topics in Internet of Things,CS 437,,
Course Information: Same as ECE 435. See ECE 435.,[{'Matthew Chapman Caesar': 'https://cs.illinois.edu/about/people/all-faculty/caesar'}],,https://cs.illinois.edu/academics/courses/CS436,Computer Networking Laboratory,CS 436,,
"Provides a foundational view of computer networks with a focus on enabling modern large-scale cloud computing. The first part of this course studies the principles upon which the Internet and other networks are built, and how those principles translate into deployed protocols. The second part covers how those principles are applied in network infrastructure for modern clouds, enabling deployment of virtual networks on shared infrastructure, efficient transfer of big data and low latency communication, and federation of applications across countries and continents. Course Information: 3 undergraduate hours. 4 graduate hours. Credit is not given for both CS 435 and CS 438/ECE 438. Prerequisite: One of CS 240, CS 241 or ECE 391.",[{}],,https://cs.illinois.edu/academics/courses/CS435,Cloud Networking,CS 435,,https://www.coursera.org/learn/cs-435-cn
Course Information: Same as ECE 434. See ECE 434.,[{}],,https://cs.illinois.edu/academics/courses/CS434,Mobile Computing & Application,CS 434,,https://courses.grainger.illinois.edu/cs434/
A survey of sampled data systems and embedded architecture; key concepts in common embedded system applications; signal processing and control; embedded microprocessor and device interface; time-critical I/O handling; data communications; real-time operating systems and techniques for the development and analysis of embedded real-time software; hands-on laboratory projects. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 241 or ECE 391. Class Schedule Information: Students must register for one lab and one lecture section.,[{'Lui Raymond Sha': 'https://cs.illinois.edu/about/people/all-faculty/lrs'}],3/15/2019by Leonard B. Pitt,https://cs.illinois.edu/academics/courses/CS431,Embedded Systems,CS 431,,https://wiki.illinois.edu/wiki/display/cs431sp15/CS+431+Spring+2021+Home
"Computer hardware design and analysis and interface with software. Advanced processor design, including superscalar, out-of-order issue, branch prediction, and speculation. Memory hierarchy design, including advanced cache optimizations, main memory, and virtual memory. Principles of multiprocessor design, including shared-memory, cache coherence, synchronization, and consistency. Other advanced topics depending on time; e.g., GPUs and accelerators, warehouse computers and data centers, security. Course Information: Same as CSE 422. 3 undergraduate hours. 4 graduate hours. Prerequisite: CS 233.",[{'Sarita V Adve': 'https://cs.illinois.edu/about/people/all-faculty/sadve'}],2/10/2019by Sarita V. Adve,https://cs.illinois.edu/academics/courses/CS433,Computer System Organization,CS 433,,https://courses.grainger.illinois.edu/cs433
Continuation of CS 427. Identical to CS 428 except for the additional writing component. See CS 428. Course Information: 3 undergraduate hours. 3 graduate hours. Prerequisite: CS 427.,"[{'Darko   Marinov': 'https://cs.illinois.edu/about/people/all-faculty/marinov', 'Tao   Xie': 'https://cs.illinois.edu/about/people/all-faculty/taoxie'}]",3/4/2019,https://cs.illinois.edu/academics/courses/CS429,"Software Engineering II, ACP",CS 429,,https://wiki.illinois.edu/wiki/display/CS428SP21
"Continuation of CS 427. Software development, management, and maintenance. Project and configuration management, collaborative development models, software quality assurance, interoperability domain engineering and software reuse, and software re-engineering. Course Information: Same as CSE 429. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 427.","[{'Darko   Marinov': 'https://cs.illinois.edu/about/people/all-faculty/marinov', 'Tao   Xie': 'https://cs.illinois.edu/about/people/all-faculty/taoxie'}]",2/15/2019by Darko  Marinov,https://cs.illinois.edu/academics/courses/CS428,Software Engineering II,CS 428,,https://wiki.illinois.edu/wiki/display/CS428SP21
"Software process, analysis and design. Software development paradigms, system engineering, function-based analysis and design, and object-oriented analysis and design. Course will use team-projects for hands-on exercises. Course Information: Same as CSE 426. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 241.","[{'Darko   Marinov': 'https://cs.illinois.edu/about/people/all-faculty/marinov', 'Tao   Xie': 'https://cs.illinois.edu/about/people/all-faculty/taoxie'}]",2/15/2019,https://cs.illinois.edu/academics/courses/CS427,Software Engineering I,CS 427,,https://wiki.illinois.edu/wiki/display/CS427FA21
"Compiler structure, syntax analysis, syntax-directed translation, automatically constructed recognizers, semantic analysis, code generation, intermediate language, optimization techniques. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 421.",[{'Vikram Sadanand Adve': 'https://cs.illinois.edu/about/people/all-faculty/vadve'}],3/14/2019by Vikram Adve,https://cs.illinois.edu/academics/courses/CS426,Compiler Construction,CS 426,,
"Protocols, specification techniques, global states and their determination, reliable broadcast, transactions and commitment, security, and real-time systems. Course Information: Same as ECE 428. 3 or 4 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 241 or ECE 391.",[{'Indranil   Gupta': 'https://cs.illinois.edu/about/people/all-faculty/indy'}],2/12/2019by Indranil  Gupta,https://cs.illinois.edu/academics/courses/CS425,Distributed Systems,CS 425,,
"Supervisory control aspects of Cyber Physical Systems (CPS): fundamentals of reliability analysis, real-time scheduling, simple feedback control, software fault tolerance architecture, wireless networking and energy saving, principles of safety critical system engineering. Student groups design and demonstrate supervisory control architecture for a robot. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 241.",[{'Tarek   Abdelzaher': 'https://cs.illinois.edu/about/people/all-faculty/zaher'}],2/23/2019by Tarek  Abdelzaher,https://cs.illinois.edu/academics/courses/CS424,Real-Time Systems,CS 424,Credit in CS 233  or CS 240 Credit in CS 374 Credit in ASRM 406  or MATH 225  or MATH 257  or MATH 415  or MATH 416 ,https://courses.engr.illinois.edu/cs424
"Organization and structure of modern operating systems and concurrent programming concepts. Deadlock, virtual memory, processor scheduling, and disk systems. Performance, security, and protection. Course Information: Same as CSE 423. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 241 or ECE 391.",[{'Adam Macneil Bates': 'https://cs.illinois.edu/about/people/all-faculty/batesa'}],2/16/2019by Adam Bates,https://cs.illinois.edu/academics/courses/CS423,Operating Systems Design,CS 423,,https://courses.grainger.illinois.edu/cs423/
Exploration of major language design paradigms using imperative and functional programming as unifying themes. Tools include both practical language processor construction and theoretical models. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 421.,[{'Grigore   Rosu': 'https://cs.illinois.edu/about/people/all-faculty/grosu'}],3/15/2019by Grigore  Rosu,https://cs.illinois.edu/academics/courses/CS422,Programming Language Design,CS 422,,https://pages.github-dev.cs.illinois.edu/cs421-sp21/web/
"Structure of programming languages and their implementation. Basic language design principles; abstract data types; functional languages; type systems; object-oriented languages. Basics of lexing, parsing, syntax-directed translation, semantic analysis, and code generation. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 233 or CS 240; CS 374; one of MATH 225, MATH 257, MATH 415, MATH 416, ASRM 406.","[{'Mattox Alan Beckman': 'https://cs.illinois.edu/about/people/all-faculty/mattox', 'Elsa   Gunter': 'https://cs.illinois.edu/about/people/all-faculty/egunter'}]",2/17/2019by Elsa  Gunter,https://cs.illinois.edu/academics/courses/CS421,Progrmg Languages & Compilers,CS 421,,
"Advanced methods for representing, displaying, and rendering two-, three-, and four-dimensional scenes. General algebraic curves and surfaces, splines, Gaussian and bump-function representation, fractals, particle systems, constructive solid geometry methods, lighting models, radiosity, advanced ray-tracing methods, surface texturing animation techniques, data visualization methods. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 418.","[{'John C Hart': 'https://cs.illinois.edu/about/people/all-faculty/jch', 'Eric Gene Shaffer': 'https://cs.illinois.edu/about/people/all-faculty/shaffer1'}]",2/14/2019by Eric Gene Shaffer,https://cs.illinois.edu/academics/courses/CS419,Production Computer Graphics,CS 419,,https://courses.grainger.illinois.edu/cs419/
"Fundamental issues in design and development of parallel programs for various types of parallel computers. Various programming models according to both machine type and application area. Cost models, debugging, and performance evaluation of parallel programs with actual application examples. Course Information: Same as CSE 402 and ECE 492. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225.","[{'Laxmikant V Kale': 'https://cs.illinois.edu/about/people/all-faculty/kale', 'Marc   Snir': 'https://cs.illinois.edu/about/people/all-faculty/snir'}]",2/10/2019by Marc  Snir,https://cs.illinois.edu/academics/courses/CS420,Parallel Progrmg: Sci & Engrg,CS 420,,
"Basic mathematical tools and computational techniques for modeling, rendering, and animating 3-D scenes. Course Information: Same as CSE 427. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225; One of MATH 225, MATH 257, MATH 415, MATH 416 or ASRM 406; MATH 241. Class Schedule Information: Students will register for a lecture and a discussion section.","[{'John C Hart': 'https://cs.illinois.edu/about/people/all-faculty/jch', 'Eric Gene Shaffer': 'https://cs.illinois.edu/about/people/all-faculty/shaffer1'}]",2/14/2019by Eric Gene Shaffer,https://cs.illinois.edu/academics/courses/CS418,Interactive Computer Graphics,CS 418,,https://www.coursera.org/
Course Information: Same as CI 435. See CI 435.,[{}],,https://cs.illinois.edu/academics/courses/CS417,Virtual Reality,CS 417,,
"Organization and structure of modern multimedia systems; audio and video encoding; quality of service concepts; scheduling algorithms for multimedia within OS and networks multimedia protocols over high-speed networks; synchronization schemes, user-interface design; multimedia teleservices. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 241 or ECE 391.",[{'Klara   Nahrstedt': 'https://cs.illinois.edu/about/people/all-faculty/klara'}],3/15/2019by Leonard B. Pitt,https://cs.illinois.edu/academics/courses/CS414,Multimedia Systems,CS 414,Credit in CS 225 ,
Course Information: Same as MATH 413. See MATH 413.,[{}],,https://cs.illinois.edu/academics/courses/CS413,Intro to Combinatorics,CS 413,,
"Concepts, techniques, and systems of data warehousing and data mining. Design and implementation of data warehouse and on-line analytical processing (OLAP) systems; data mining concepts, methods, systems, implementations, and applications. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225.",[{'Jiawei   Han': 'https://cs.illinois.edu/about/people/all-faculty/hanj'}],2/18/2019by Jiawei  Han,https://cs.illinois.edu/academics/courses/CS412,Introduction to Data Mining,CS 412,,https://arindam.cs.illinois.edu/courses/f21cs412/
"Examination of the logical organization of databases: the entity-relationship model; the hierarchical, network, and relational data models and their languages. Functional dependencies and normal forms. Design, implementation, and optimization of query languages; security and integrity; concurrency control, and distributed database systems. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225.","[{'Abdussalam Alhadi M Alawini': 'https://cs.illinois.edu/about/people/all-faculty/alawini', 'Kevin Chenchuan Chang': 'https://cs.illinois.edu/about/people/all-faculty/kcchang'}]",2/14/2019by Abdussalam Alawini,https://cs.illinois.edu/academics/courses/CS411,Database Systems,CS 411,,https://wiki.illinois.edu/wiki/display/CS411AAFA21
"Theory, design, and implementation of text-based information systems. Text analysis, retrieval models (e.g., Boolean, vector space, probabilistic), text categorization, text filtering, clustering, retrieval system design and implementation, and applications to web information management. Course Information: 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225.",[{'Chengxiang   Zhai': 'https://cs.illinois.edu/about/people/all-faculty/czhai'}],2/2/2019by ChengXiang Zhai,https://cs.illinois.edu/academics/courses/CS410,Text Information Systems,CS 410,,
,[{}],,https://cs.illinois.edu/academics/courses/CS409,The Art of Web Programming,CS 409,,
Course Information: Same as ECE 407. See ECE 407.,[{'Dakshita   Khurana': 'https://cs.illinois.edu/about/people/all-faculty/dakshita'}],,https://cs.illinois.edu/academics/courses/CS407,Cryptography,CS 407,,https://soc1024.ece.illinois.edu/teaching/ececs407/fa21/
,[{}],,https://cs.illinois.edu/academics/courses/CS403,Accel Fund of Algorithms II,CS 403,,
,[{}],,https://cs.illinois.edu/academics/courses/CS402,Accel Fund of Computing II,CS 402,,
"The first class in a sequence of two classes that introduces students to the theoretical foundations of computer science. Topics include counting, sets, functions, decision trees, recursion, binary numbers, basic graph theory, depth first search and breadth first search, algorithms for computing shortest paths, data structures like stacks and queues, big O notation and asymptotic analysis, complexity classes like P and NP, and reductions. Course Information: No undergraduate credit. 3 graduate hours. Prerequisite: Current enrollment in the Illinois Computing Accelerator for Non-specialists (iCAN) program or consent of instructor. Restricted to post- baccalaureate students with a non-computing background.","[{'Yael   Gertner': 'https://cs.illinois.edu/about/people/all-faculty/ygertner', 'Tiffani L Williams': 'https://cs.illinois.edu/about/people/all-faculty/tiffani'}]",,https://cs.illinois.edu/academics/courses/CS401,Accel Fund of Algorithms I,CS 401,Credit in CS 173  or CS 225  or MATH 213 ,
"The first class in a sequence of two classes that introduces students to the basic concepts in computing with an emphasis on the fundamental techniques for solving computational problems. Topics include: core programming concepts (variables, data types, conditional expressions, loops, functions), basic data structures, searching and sorting algorithms, and data exploration and visualization. No prior programming experience is required. Course Information: No undergraduate credit. 3 graduate hours. Prerequisite: Current enrollment in the Illinois Computing Accelerator for Non-specialists (iCAN) program or consent of instructor. Restricted to post-baccalaureate students with a non-computing background.",[{'Tiffani L Williams': 'https://cs.illinois.edu/about/people/all-faculty/tiffani'}],,https://cs.illinois.edu/academics/courses/CS400,Accel Fund of Computing I,CS 400,Credit in MATH 220  or MATH 221 Credit in ASRM 406  or Credit or concurrent registration in MATH 225  or Credit in MATH 257  or Credit or concurrent registration in MATH 415  or MATH 416 ,https://compass2g.illinois.edu/webapps/blackboard/execute/launcher?type=Course&id=_61681_1&url=
"Analysis of algorithms, major paradigms of algorithm design including recursive algorithms, divide-and-conquer algorithms, dynamic programming, greedy algorithms, and graph algorithms. Formal models of computation including finite automata and Turing machines. Limitations of computation arising from fundamental notions of algorithm and from complexity-theoretic constraints. Reductions, undecidability and NP-completeness. Course Information: Same as ECE 374. Prerequisite: One of CS 173, MATH 213; CS 225.","[{'Chandra Sekhar Chekuri': 'https://cs.illinois.edu/about/people/all-faculty/chekuri', 'Jeff G Erickson': 'https://cs.illinois.edu/about/people/all-faculty/jeffe'}]",3/26/2019by Elsa  Gunter,https://cs.illinois.edu/academics/courses/CS374,Intro to Algs & Models of Comp,CS 374,,https://courses.engr.illinois.edu/cs374/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{'Craig   Zilles': 'https://cs.illinois.edu/about/people/all-faculty/zilles'}],5/28/2013,https://cs.illinois.edu/academics/courses/CS398,Special Topics,CS 398,Credit in CS 101  or CS 105  or CS 124  or CS 125  or ECE 220 Credit in ASRM 406  or MATH 225  or MATH 257  or MATH 415  or MATH 416 Credit in MATH 241 ,
"Introduction to probability theory and statistics with applications to computer science. Topics include: visualizing datasets, summarizing data, basic descriptive statistics, conditional probability, independence, Bayes theorem, random variables, joint and conditional distributions, expectation, variance and covariance, central limit theorem. Markov inequality, Chebyshev inequality, law of large numbers, Markov chains, simulation, the PageRank algorithm, populations and sampling, sample mean, standard error, maximum likelihood estimation, Bayes estimation, hypothesis testing, confidence intervals, linear regression, principal component analysis, classification, and decision trees. Course Information: Same as STAT 361. Credit is not given for both CS 361 and ECE 313. Prerequisite: MATH 220 or MATH 221; credit or concurrent registration in one of MATH 225, MATH 257, MATH 415, MATH 416 or ASRM 406. For majors only.",[{'Hongye   Liu': 'https://cs.illinois.edu/about/people/all-faculty/hl314'}],2/7/2019by David  Varodayan,https://cs.illinois.edu/academics/courses/CS361,Prob & Stat for Computer Sci,CS 361,,https://courses.grainger.illinois.edu/cs361/fa2021/index.html
"Fundamentals of numerical methods for students in science and engineering; floating-point computation, systems of linear equations, approximation of functions and integrals, the single nonlinear equation, and the numerical solution of ordinary differential equations; various applications in science and engineering; programming exercises and use of high quality mathematical library routines. Course Information: Same as MATH 357. Credit is not given for CS 357 if credit for CS 450 has been earned. (Counts for advanced hours in LAS). Prerequisite: One of CS 101, CS 105, CS 124, CS 125 or ECE 220; MATH 241; one of MATH 225, MATH 257, MATH 415, MATH 416 or ASRM 406.","[{'Luke   Olson': 'https://cs.illinois.edu/about/people/all-faculty/lukeo', 'Mariana  Silva': 'https://cs.illinois.edu/about/people/all-faculty/mfsilva'}]",2/10/2019by Mariana  Silva,https://cs.illinois.edu/academics/courses/CS357,Numerical Methods I,CS 357,,https://courses.grainger.illinois.edu/cs357/fa2021/
,[{}],,https://cs.illinois.edu/academics/courses/CS307,Model & Learning in Data Sci,CS 307,,
Group projects for honors credit in computer science. Sections of this course are offered in conjunction with other 200-level computer science courses taken concurrently. A special examination may be required for admission to this course. Course Information: May be repeated. Prerequisite: Concurrent registration in another 200-level computer science course (see Schedule).,[{}],1/19/2021,https://cs.illinois.edu/academics/courses/CS296,Honors Course,CS 296,Credit in CS 225 Credit in CS 233 ,
