description,link,name,number,prerequisites,profs,text_profs,type,units,websites
" This course is an introduction to the field of robotics. It covers the fundamentals of kinematics, dynamics, control of robot manipulators, robotic vision, sensing, forward & inverse kinematics of serial chain manipulators, the manipulator Jacobian, force relations, dynamics, & control. We will present techniques for geometric motion planning & obstacle avoidance. Open problems in trajectory generation with dynamic constraints will also be discussed. The course also presents the use of the same analytical techniques as manipulation for the analysis of images & computer vision. Low level vision, structure from motion, & an introduction to vision & learning will be covered. The course concludes with current applications of robotics.",https://www2.eecs.berkeley.edu/Courses/EECS206A,Introduction to Neurotechnology,EECS 206A," Familiarity with linear algebra at level of EECS 16A/EECS 16B or MATH 54. Experience doing coding in python at the level of COMPSCI 61A. Preferred: experience developing software at level of COMPSCI 61B and experience using Linux. EECS 120 is not required, but some knowledge of linear systems may be helpful for the control of robots.",[{'Chunlei\xa0Liu': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/chunleiliu.html'}],,GRP, 4.0,http://inst.eecs.berkeley.edu/~eecs206a
" Group study of selected topics in electrical engineering, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/EE198_4666,Pioneers in Engineering (PIE) Robotics DeCal,EE 198, 2.0 GPA or better; 60 units completed. ,[{'Pieter\xa0Abbeel': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/abbeel.html'}],,GRP, 1-4,http://inst.eecs.berkeley.edu/~ee198
" Group study of selected topics in electrical engineering, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/EE198_4660,Hands-On PCB Engineering (HOPE),EE 198, 2.0 GPA or better; 60 units completed. ,[{'Clark\xa0Nguyen': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/ctnguyen.html'}],,GRP, 1-4,http://inst.eecs.berkeley.edu/~ee198
" Group study of selected topics in electrical engineering, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/EE198_3415,Exploration of Inclusive Pathways into the Tech Industry,EE 198, 2.0 GPA or better; 60 units completed. ,[{'Costas\xa0SPANOS': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/spanos.html'}],,GRP, 1-4,http://inst.eecs.berkeley.edu/~ee198
" Group study of selected topics in electrical engineering, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/EE198_4657,Field Study,EE 198, 2.0 GPA or better; 60 units completed. ,[{'Chunlei\xa0Liu': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/chunleiliu.html'}],,FLD, 1-4,http://inst.eecs.berkeley.edu/~ee198
" Students take part in organized individual field sponsored programs with off-campus companies or tutoring/mentoring relevant to specific aspects and applications of computer science on or off campus. Note Summer CPT or OPT students: written report required. Course does not count toward major requirements, but will be counted in the cumulative units toward graduation. ",https://www2.eecs.berkeley.edu/Courses/EE197,Field Study,EE 197, Consent of instructor (see department adviser). ,[{'Avideh\xa0ZAKHOR': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/zakhor.html'}],,FLD, 1-4,http://inst.eecs.berkeley.edu/~ee197
" Students take part in organized individual field sponsored programs with off-campus companies or tutoring/mentoring relevant to specific aspects and applications of computer science on or off campus. Note Summer CPT or OPT students: written report required. Course does not count toward major requirements, but will be counted in the cumulative units toward graduation. ",https://www2.eecs.berkeley.edu/Courses/EE197,Field Study,EE 197, Consent of instructor (see department adviser). ,"[{'Ana\xa0Arias': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/acarias.html', 'Michael\xa0Lustig': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/mlustig.html'}]",,FLD, 1-4,http://inst.eecs.berkeley.edu/~ee197
" Students take part in organized individual field sponsored programs with off-campus companies or tutoring/mentoring relevant to specific aspects and applications of computer science on or off campus. Note Summer CPT or OPT students: written report required. Course does not count toward major requirements, but will be counted in the cumulative units toward graduation. ",https://www2.eecs.berkeley.edu/Courses/EE197,Introduction to Digital Design and Integrated Circuits Lab,EE 197, Consent of instructor (see department adviser). ,[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 1-4,http://inst.eecs.berkeley.edu/~ee197
" This lab covers the design of modern digital systems with Field-Programmable Gate Array (FPGA) platforms.  A series of lab exercises provide the background and practice of digital design using a modern FPGA design tool flow.  Digital synthesis, partitioning, placement, routing, and simulation tools for FPGAs are covered in detail.  The labs exercises culminate with a large design project, e.g., an implementation of a full three-stage RISC-V processor system, with caches, graphics acceleration, and external peripheral components.  The design is mapped and demonstrated on an FPGA hardware platform.",https://www2.eecs.berkeley.edu/Courses/EECS151LB,Introduction to Digital Design and Integrated Circuits Lab,EECS 151LB," EECS 16A, EECS 16B, and COMPSCI 61C; EL ENG 105 recommended.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 2.0,http://inst.eecs.berkeley.edu/~eecs151lb
" This lab covers the design of modern digital systems with Field-Programmable Gate Array (FPGA) platforms.  A series of lab exercises provide the background and practice of digital design using a modern FPGA design tool flow.  Digital synthesis, partitioning, placement, routing, and simulation tools for FPGAs are covered in detail.  The labs exercises culminate with a large design project, e.g., an implementation of a full three-stage RISC-V processor system, with caches, graphics acceleration, and external peripheral components.  The design is mapped and demonstrated on an FPGA hardware platform.",https://www2.eecs.berkeley.edu/Courses/EECS151LB,Introduction to Digital Design and Integrated Circuits Lab,EECS 151LB," EECS 16A, EECS 16B, and COMPSCI 61C; EL ENG 105 recommended.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 2.0,http://inst.eecs.berkeley.edu/~eecs151lb
" This lab covers the design of modern digital systems with Field-Programmable Gate Array (FPGA) platforms.  A series of lab exercises provide the background and practice of digital design using a modern FPGA design tool flow.  Digital synthesis, partitioning, placement, routing, and simulation tools for FPGAs are covered in detail.  The labs exercises culminate with a large design project, e.g., an implementation of a full three-stage RISC-V processor system, with caches, graphics acceleration, and external peripheral components.  The design is mapped and demonstrated on an FPGA hardware platform.",https://www2.eecs.berkeley.edu/Courses/EECS151LB,Introduction to Digital Design and Integrated Circuits Lab,EECS 151LB," EECS 16A, EECS 16B, and COMPSCI 61C; EL ENG 105 recommended.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 2.0,http://inst.eecs.berkeley.edu/~eecs151lb
" This lab covers the design of modern digital systems with Field-Programmable Gate Array (FPGA) platforms.  A series of lab exercises provide the background and practice of digital design using a modern FPGA design tool flow.  Digital synthesis, partitioning, placement, routing, and simulation tools for FPGAs are covered in detail.  The labs exercises culminate with a large design project, e.g., an implementation of a full three-stage RISC-V processor system, with caches, graphics acceleration, and external peripheral components.  The design is mapped and demonstrated on an FPGA hardware platform.",https://www2.eecs.berkeley.edu/Courses/EECS151LB,Introduction to Digital Design and Integrated Circuits Lab,EECS 151LB," EECS 16A, EECS 16B, and COMPSCI 61C; EL ENG 105 recommended.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 2.0,http://inst.eecs.berkeley.edu/~eecs151lb
" This lab lays the foundation of modern digital design by first presenting the scripting and hardware description language base for specification of digital systems and interactions with tool flows. The labs are centered on a large design with the focus on rapid design space exploration. The lab exercises culminate with a project design, e.g., implementation of a three-stage RISC-V processor with a register file and caches. The design is mapped to simulation and layout specification.",https://www2.eecs.berkeley.edu/Courses/EECS151LA,Introduction to Digital Design and Integrated Circuits Lab,EECS 151LA," COMPSCI 61C, EECS 16A, EECS 16B, and EL ENG 105.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 2.0,http://inst.eecs.berkeley.edu/~eecs151la
" This lab lays the foundation of modern digital design by first presenting the scripting and hardware description language base for specification of digital systems and interactions with tool flows. The labs are centered on a large design with the focus on rapid design space exploration. The lab exercises culminate with a project design, e.g., implementation of a three-stage RISC-V processor with a register file and caches. The design is mapped to simulation and layout specification.",https://www2.eecs.berkeley.edu/Courses/EECS151LA,Introduction to Digital Design and Integrated Circuits Lab,EECS 151LA," COMPSCI 61C, EECS 16A, EECS 16B, and EL ENG 105.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 2.0,http://inst.eecs.berkeley.edu/~eecs151la
" This lab lays the foundation of modern digital design by first presenting the scripting and hardware description language base for specification of digital systems and interactions with tool flows. The labs are centered on a large design with the focus on rapid design space exploration. The lab exercises culminate with a project design, e.g., implementation of a three-stage RISC-V processor with a register file and caches. The design is mapped to simulation and layout specification.",https://www2.eecs.berkeley.edu/Courses/EECS151LA,Introduction to Digital Design and Integrated Circuits,EECS 151LA," COMPSCI 61C, EECS 16A, EECS 16B, and EL ENG 105.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LEC, 2.0,http://inst.eecs.berkeley.edu/~eecs151la
" An introduction to digital and system design. The material provides a top-down view of the principles, components, and methodologies for large scale digital system design. The underlying CMOS devices and manufacturing technologies are introduced, but quickly abstracted to higher-levels to focus the class on design of larger digital modules for both FPGAs (field programmable gate arrays) and ASICs (application specific integrated circuits). The class includes extensive use of industrial grade design automation and verification tools for assignments, labs and projects.  
The class has two lab options: ASIC Lab (EECS 151LA) and FPGA Lab (EECS 151LB). Students must enroll in at least one of the labs concurrently with the class.",https://www2.eecs.berkeley.edu/Courses/EECS151,Introduction to Embedded Systems,EECS 151, EECS 16A and EECS 16B.,[{'Sanjit\xa0A.\xa0Seshia': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/seshia.html'}],,LEC, 3.0,http://inst.eecs.berkeley.edu/~eecs151
" This course introduces students to the basics of modeling, analysis, and design of embedded, cyber-physical systems. Students learn how to integrate computation with physical processes to meet a desired specification. Topics include models of computation, control, analysis and verification, interfacing with the physical world, real-time behaviors, mapping to platforms, and distributed embedded systems. The course has a strong laboratory component, with emphasis on a semester-long sequence of projects.",https://www2.eecs.berkeley.edu/Courses/EECS149,Introduction to Microelectromechanical Systems (MEMS),EECS 149," COMPSCI 61C and COMPSCI 70; EECS 16A and EECS 16B, or permission of instructor.","[{'Prof.\xa0Kristofer\xa0PISTER,\xa0PhD': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/pister.html'}]",,LEC, 4.0,http://inst.eecs.berkeley.edu/~eecs149
" This course will teach fundamentals of micromachining and microfabrication techniques, including planar thin-film process technologies, photolithographic techniques, deposition and etching techniques, and the other technologies that are central to MEMS fabrication. It will pay special attention to teaching of fundamentals necessary for the design and analysis of devices and systems in mechanical, electrical, fluidic, and thermal energy/signal domains, and will teach basic techniques for multi-domain analysis. Fundamentals of sensing and transduction mechanisms including capacitive and piezoresistive techniques, and design and analysis of micmicromachined miniature sensors and actuators using these techniques will be covered.",https://www2.eecs.berkeley.edu/Courses/EE147,Medical Imaging Signals and Systems,EE 147, EECS 16A and EECS 16B.,[{'Steven\xa0Conolly': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/sconolly.html'}],,LEC, 3.0,http://inst.eecs.berkeley.edu/~ee147
" Biomedical imaging is a clinically important application of engineering, applied mathematics, physics, and medicine. In this course, we apply linear systems theory and basic physics to analyze X-ray imaging, computerized tomography, nuclear medicine, and MRI. We cover the basic physics and instrumentation that characterizes medical image as an ideal perfect-resolution image blurred by an impulse response. This material could prepare the student for a career in designing new medical imaging systems that reliably detect small tumors or infarcts. ",https://www2.eecs.berkeley.edu/Courses/EEC145B,Microfabrication Technology,EE C145B," Prerequisites are introductory level skills in Python/Matlab; and either EECS 16A, EECS 16B, and EL ENG 120; or MATH 54, BIO ENG 105, and BIO ENG 101.",[{'Muhammad\xa0Hussain': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/hussain.html'}],,LEC, 4.0,http://inst.eecs.berkeley.edu/~ee145b
" Integrated circuit device fabrication and surface micromachining technology. Thermal oxidation, ion implantation, impurity diffusion, film deposition, expitaxy, lithography, etching, contacts and interconnections, and process integration issues. Device design and mask layout, relation between physical structure and electrical/mechanical performance. MOS transistors and poly-Si surface microstructures will be fabricated in the laboratory and evaluated. ",https://www2.eecs.berkeley.edu/Courses/EE143,Analog Integrated Circuits,EE 143, PHYSICS 7B,[{'Rikky\xa0Muller': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/rikky.html'}],,LEC, 4.0,http://inst.eecs.berkeley.edu/~ee143
" Single and multiple stage transistor amplifiers. Operational amplifiers. Feedback amplifiers, 2-port formulation, source, load, and feedback network loading. Frequency response of cascaded amplifiers, gain-bandwidth exchange, compensation, dominant pole techniques, root locus. Supply and temperature independent biasing and references. Selected applications of analog circuits such as analog-to-digital converters, switched capacitor filters, and comparators. Hardware laboratory and design project. ",https://www2.eecs.berkeley.edu/Courses/EE140,Introduction to Electric Power Systems,EE 140, EL ENG 105,[{'Alexandra\xa0von\xa0Meier': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/vonmeier.html'}],,LEC, 4.0,http://inst.eecs.berkeley.edu/~ee140
" Overview of conventional electric power conversion and delivery, emphasizing a systemic understanding of the electric grid with primary focus at the transmission level, aimed toward recognizing needs and opportunities for technological innovation. Topics include aspects of a.c. system design, electric generators, components of transmission and distribution systems, power flow analysis, system planning and operation, performance measures, and limitations of legacy technologies. ",https://www2.eecs.berkeley.edu/Courses/EE137A,Integrated-Circuit Devices,EE 137A," Physics 7B; EECS 16A and EECS 16B, or consent of instructor.",[{'Ali\xa0Javey': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/javey.html'}],,LEC, 4.0,http://inst.eecs.berkeley.edu/~ee137a
" Overview of electronic properties of semiconductor. Metal-semiconductor contacts, pn junctions, bipolar transistors, and MOS field-effect transistors. Properties that are significant to device operation for integrated circuits. Silicon device fabrication technology. ",https://www2.eecs.berkeley.edu/Courses/EE130,Optimization Models in Engineering,EE 130, EECS 16A and EECS 16B.,[{'Laurent\xa0El\xa0Ghaoui': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/elghaoui.html'}],,LEC, 4.0,http://inst.eecs.berkeley.edu/~ee130
" This course offers an introduction to optimization models and their applications, ranging from machine learning and statistics to decision-making and control, with emphasis on numerically tractable problems, such as linear or constrained least-squares optimization. ",https://www2.eecs.berkeley.edu/Courses/EECS127,Probability and Random Processes,EECS 127," EECS 16A and EECS 16B, or consent of instructor.",[{'Shyam\xa0Parekh': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/shyam.html'}],,LEC, 4.0,http://inst.eecs.berkeley.edu/~eecs127
" This course covers the fundamentals of probability and random processes useful in fields such as networks, communication, signal processing, and control. Sample space, events, probability law. Conditional probability. Independence. Random variables. Distribution, density functions. Random vectors. Law of large numbers. Central limit theorem. Estimation and detection. Markov chains. ",https://www2.eecs.berkeley.edu/Courses/EECS126,Signals and Systems,EECS 126, COMPSCI 70 preferred but not required; Familiarity with linear algebra.,[{'Avideh\xa0ZAKHOR': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/zakhor.html'}],,LEC, 4.0,http://inst.eecs.berkeley.edu/~eecs126
" Continuous and discrete-time transform analysis techniques with illustrative applications. Linear and time-invariant systems, transfer functions. Fourier series, Fourier transform, Laplace and Z-transforms. Sampling and reconstruction. Solution of differential and difference equations using transforms. Frequency response, Bode plots, stability analysis. Illustrated by analysis of communication systems and feedback control systems. ",https://www2.eecs.berkeley.edu/Courses/EE120,Introduction to Optical Engineering,EE 120, EECS 16A and EECS 16B.,[{'Boubacar\xa0Kante': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/bkante.html'}],,LEC, 4.0,http://inst.eecs.berkeley.edu/~ee120
" Fundamental principles of optical systems. Geometrical optics and aberration theory. Stops and apertures, prisms, and mirrors. Diffraction and interference. Optical materials and coatings. Radiometry and photometry. Basic optical devices and the human eye. The design of optical systems. Lasers, fiber optics, and holography. ",https://www2.eecs.berkeley.edu/Courses/EE118,Power Electronics,EE 118," MATH 53; EECS 16A and EECS 16B, or MATH 54.",[{}],Nathan Ellis,LEC, 4.0,http://inst.eecs.berkeley.edu/~ee118
" Power conversion circuits and techniques. Characterization and design of magnetic devices including transformers, reactors, and electromagnetic machinery. Characteristics of bipolar and MOS power semiconductor devices. Applications to motor control, switching power supplies, lighting, power systems, and other areas as appropriate. ",https://www2.eecs.berkeley.edu/Courses/EE113,Introduction to Robotics,EE 113, EL ENG 105 or consent of instructor.,"[{'Yi\xa0Ma,\xa0PhD': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/yima.html'}]","Jaeyun Seo,Jay Monga,Josephine Koe,Koushil Sreenath",LEC, 4.0,http://inst.eecs.berkeley.edu/~ee113
" This course is an introduction to the field of robotics. It covers the fundamentals of kinematics, dynamics, control of robot manipulators, robotic vision, sensing, forward & inverse kinematics of serial chain manipulators, the manipulator Jacobian, force relations, dynamics, & control. We will present techniques for geometric motion planning & obstacle avoidance. Open problems in trajectory generation with dynamic constraints will also be discussed. The course also presents the use of the same analytical techniques as manipulation for the analysis of images & computer vision. Low level vision, structure from motion, & an introduction to vision & learning will be covered. The course concludes with current applications of robotics.",https://www2.eecs.berkeley.edu/Courses/EECSC106A,Microelectronic Devices and Circuits,EECS C106A," Familiarity with linear algebra at the level of EECS 16A/EECS 16B or Math 54. Experience coding in python at the level of COMPSCI 61A. 
Preferred: experience developing software at the level of COMPSCI 61B and experience using Linux.",[{'Ali\xa0Niknejad': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/niknejad.html'}],,LEC, 4.0,http://inst.eecs.berkeley.edu/~eecs106a
" This course covers the fundamental circuit and device concepts needed to understand analog integrated circuits. After an overview of the basic properties of semiconductors, the p-n junction and MOS capacitors are described and the MOSFET is modeled as a large-signal device. Two port small-signal amplifiers and their realization using single stage and multistage CMOS building blocks are discussed. Sinusoidal steady-state signals are introduced and the techniques of phasor analysis are developed, including impedance and the magnitude and phase response of linear circuits. The frequency responses of single and multi-stage amplifiers are analyzed. Differential amplifiers are introduced. ",https://www2.eecs.berkeley.edu/Courses/EE105,Personal Finance,EE 105, EECS 16A and EECS 16B.,[{'Laurent\xa0El\xa0Ghaoui': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/elghaoui.html'}],,GRP, 4.0,http://inst.eecs.berkeley.edu/~ee105
" Group study of selected topics in electrical engineering, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/EE98_4659,Sophomore Seminar,EE 98,,[{'Michael\xa0Lustig': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/mlustig.html'}],Michael W. Zuerch,SEM, 1-4,http://inst.eecs.berkeley.edu/~ee98
" Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores. ",https://www2.eecs.berkeley.edu/Courses/EE84,Self-paced courses,EE 84, At discretion of instructor. ,"[{'Ana\xa0Arias': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/acarias.html', 'Michael\xa0Lustig': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/mlustig.html'}]","Dahlia Saba,Dixun Cui",SLF,,
" This course allows students who have had a linear algebra and/or basic circuit theory course to complete the work in EE16A and be ready for EE16B or EE47E. The course focuses on the fundamentals of designing modern information devices and systems that interface with the real world and provides a comprehensive foundation for core EECS topics in signal processing, learning, control, and circuit design. Modeling is emphasized in a way that deepens mathematical maturity, and in both labs and homework, students will engage computationally, physically, and visually with the concepts being introduced in addition to traditional paper/pencil exercises.",https://www2.eecs.berkeley.edu/Courses/EECS47D_1977,Hands-on Ham Radio,EECS 47D," MATH 1A, MATH 1B, COMPSCI 61A (encouraged to be taken concurrently), college level courses in linear algebra and/or circuit theory, and consent of the instructor.",[{'Michael\xa0Lustig': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/mlustig.html'}],,SEM, 1.0-3.0,http://inst.eecs.berkeley.edu/~eecs47d
" The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman seminars are offered in all campus departments, and topics may vary from department to department and semester to semester. ",https://www2.eecs.berkeley.edu/Courses/EE24_4510,Designing Information Devices and Systems II,EE 24,,"[{'Anant\xa0Sahai': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/sahai.html', 'Vladimir\xa0Marko\xa0Stojanovic,\xa0PhD': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/vlada.html'}]","Alicia Matsumoto,Divija Hasteer,Eric Yang,Maxwell Chen,Priyans Desai,Sravya Basvapatri",LEC, 1.0,http://inst.eecs.berkeley.edu/~ee24
" Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Enrollment limits are set by the faculty, but the suggested limit is 25. ",https://www2.eecs.berkeley.edu/Courses/EE39_2893,BLISS: Berkeley Low-cost Interplanetary Solar Sail,EE 39, Priority given to freshmen and sophomores. ,"[{'Prof.\xa0Kristofer\xa0PISTER,\xa0PhD': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/pister.html'}]",,SEM, 2.0-4.0,http://inst.eecs.berkeley.edu/~ee39
" This course and its follow-on course EECS16B focus on the fundamentals of designing modern information devices and systems that interface with the real world. Together, this course sequence provides a comprehensive foundation for core EECS topics in signal processing, learning, control, and circuit design while introducing key linear-algebraic concepts motivated by application contexts. Modeling is emphasized in a way that deepens mathematical maturity, and in both labs and homework, students will engage computationally, physically, and visually with the concepts being introduced in addition to traditional paper/pencil exercises. The courses are aimed at entering students as well as non-majors seeking a broad foundation for the field.",https://www2.eecs.berkeley.edu/Courses/EECS16A,,EECS 16A, MATH 1A and MATH 1B (1B may be taken concurrently); COMPSCI 61A (encouraged to be taken concurrently).,[{}],,, 4.0,http://inst.eecs.berkeley.edu/~eecs16a
" This course is a follow-on to EECS 16A, and focuses on the fundamentals of designing and building modern information devices and systems that interface with the real world. The course sequence provides a comprehensive introduction to core EECS topics in machine learning, circuit design, control, and signal processing while developing key linear-algebraic concepts motivated by application contexts. Modeling is emphasized in a way that deepens mathematical maturity, and in both labs and homework, students will engage computationally, physically, and visually with the concepts being introduced in addition to traditional paper exercises. The courses are aimed at entering students as well as non-majors seeking a broad introduction to the field.",https://www2.eecs.berkeley.edu/Courses/EECS16B,Designing Information Devices and Systems I,EECS 16B, EECS 16A,"[{'Ana\xa0Arias': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/acarias.html', 'Michael\xa0Lustig': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/mlustig.html'}]","Dahlia Saba,Dixun Cui,Raghav Gupta,Vidish Gupta",LEC, 4.0,http://inst.eecs.berkeley.edu/~eecs16b
" This is a course for aspiring teachers or those who want to instruct with expertise from evidence-based research and proven equity-oriented practices. It provides pedagogical training by introducing the big ideas of teaching and learning, and illustrating how to put them into practice. The course is divided into three sections—instructing the individual; a group; and psycho-social factors that affect learning at any level. These sections are designed to enhance any intern’s, tutor’s, or TA’s teaching skillset. Class is discussion based, and covers theoretical and practical pedagogical aspects to teaching in STEM. An integral feature of the course involves providing weekly tutoring sessions.",https://www2.eecs.berkeley.edu/Courses/CS370,Adaptive Instruction Methods in Computer Science,CS 370, Prerequisite satisfied Concurrently: experience tutoring or as an academic intern; or concurrently serving as an academic intern while taking course.,[{'Christopher\xa0Hunn': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/cthunn.html'}],Kyle Kishimoto,LEC, 3.0,http://inst.eecs.berkeley.edu/~cs370
" This is a course for aspiring teachers or those who want to instruct with expertise from evidence-based research and proven equity-oriented practices. It provides pedagogical training by introducing the big ideas of teaching and learning, and illustrating how to put them into practice. The course is divided into three sections—instructing the individual; a group; and psycho-social factors that affect learning at any level. These sections are designed to enhance any intern’s, tutor’s, or TA’s teaching skillset. Class is discussion based, and covers theoretical and practical pedagogical aspects to teaching in STEM. An integral feature of the course involves providing weekly tutoring sessions.",https://www2.eecs.berkeley.edu/Courses/CS370,Database Seminar,CS 370, Prerequisite satisfied Concurrently: experience tutoring or as an academic intern; or concurrently serving as an academic intern while taking course.,"[{'Aditya\xa0Parameswaran': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/adityagp.html', 'Alvin\xa0Cheung': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/akcheung.html', 'Joe\xa0Hellerstein': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/hellerstein.html'}]",,LEC, 3.0,http://inst.eecs.berkeley.edu/~cs370
" Advanced study in various subjects through seminars on topics to be selected each year, informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation. ",https://www2.eecs.berkeley.edu/Courses/CS298_3143,Research Culture and Community Norms,CS 298,,"[{'Natacha\xa0Crooks': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/ncrooks.html', 'Sarah\xa0Chasins': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/schasins.html'}]",,LEC, 1.0-4.0,http://inst.eecs.berkeley.edu/~cs298
" Advanced study in various subjects through seminars on topics to be selected each year, informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation. ",https://www2.eecs.berkeley.edu/Courses/CS298_4248,"Group Studies Seminars, or Group Research",CS 298,,[{'David\xa0Wagner': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/wagner.html'}],,LEC, 1.0-4.0,http://inst.eecs.berkeley.edu/~cs298
" Advanced study in various subjects through seminars on topics to be selected each year, informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation. ",https://www2.eecs.berkeley.edu/Courses/CS298,Intro to Research in Quantum Computation,CS 298,,[{'Umesh\xa0VAZIRANI': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/vazirani.html'}],,LEC, 1.0-4.0,http://inst.eecs.berkeley.edu/~cs298
 Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_4585,Phase Transitions,CS 294,,[{'Christian\xa0Borgs': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/borgs.html'}],,LEC, 1.0-4.0,http://inst.eecs.berkeley.edu/~cs294
 Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_4544,Pseudorandomness,CS 294,,"[{'Avishay\xa0Tal,\xa0PhD': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/atal.html'}]",Kewen Wu,LEC, 1.0-4.0,http://inst.eecs.berkeley.edu/~cs294
 Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_1902,Advanced topics in learning and decision making,CS 294,,"[{'Pieter\xa0Abbeel': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/abbeel.html', 'Stuart\xa0RUSSELL': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/russell.html'}]",,LEC, 1.0-4.0,http://inst.eecs.berkeley.edu/~cs294
 Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_4508,Design and Evaluation of Processes for Teaching Computer Science at Scale,CS 294,,[{'Michael\xa0Ball': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/mball.html'}],,LEC, 1.0-4.0,http://inst.eecs.berkeley.edu/~cs294
 Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_4323,Algorithms and Inequality,CS 294,,[{'Rediet\xa0Abebe': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/rabebe.html'}],,LEC, 1.0-4.0,http://inst.eecs.berkeley.edu/~cs294
